00018841-343f-4181-93eb-cd144c9aa7cf	+
00019ea8-1f6b-4f44-bfb2-5faac58f1afb	-
00024b13-7909-4483-b226-b298bc3ad794	+
00031a22-66bf-4b9c-8fd7-12971a89423b	-
0003ec06-9b39-4d79-84bb-2917ff96fe71	-
00052071-8965-4c5c-a2be-91012a40f4a8	+
00053291-a0e8-4d9e-8198-168835eca6bd	-
00053908-f870-43c3-96ba-688ba665651a	+
00054ac8-fb29-4cbd-9005-4715f791e4a5	+
0007c80e-9820-4555-8999-e3de46f6de4b	-
000a6cc6-bb3c-4c33-8937-7a878eaf6fd4	+
000a8114-96da-436e-82ed-d967f47d14d2	+
000ad0ee-98ae-463d-af86-53f8dcae5ff8	+
000b61dc-09e5-4d83-8142-ab63564fb634	+
000bbf74-5aed-4eb5-8cda-6238e5f3c778	+
000caf26-6545-45f2-aecc-b40c81c555e1	-
000cedd3-8d85-4088-974e-6c433a164915	-
000d2c5d-05ce-45fe-aa13-bf03cb99d665	+
000e34e9-947b-4063-8611-b2d2efd01b04	+
000e3830-d163-4f84-8fbe-4a9abf858500	+
000f1db4-0943-455c-9547-d69afa038e04	-
000f213c-36dc-4a79-9d4e-6704461532b7	-
000f6cf1-6037-403a-a2a9-a6b34842b661	+
001019da-8c56-4fb1-8d88-a3808cfb2401	+
0010d014-2694-45b6-9f44-446ee574726f	+
0011716b-ec49-4931-aee5-1f1974f415a9	+
00128663-6406-4df4-adf9-04f3ccc6db73	-
001329d8-4986-4618-b955-de3a8764c60f	+
0014351b-302a-4ef3-8fd7-ced2e9b7288b	-
0014a395-4f26-4122-ad16-878aeab5b205	+
001599c6-3c5a-40ef-a2d6-4ab6165be8b6	-
00168770-c00a-4d3e-8fa6-292aefab4a96	+
0016a580-53c4-4e24-984a-dba50fc0f4a8	-
0016ec91-16c4-4f36-b121-7171b3bac050	-
00175823-da27-40e4-8eb8-675fb9fe1e9c	+
00175aaf-cebf-474e-8379-ba22167969d3	+
001873e8-4ca5-44d5-8b8c-148844d89cfa	+
001a6ee6-019c-4990-bdaf-f4d6c5f5b274	+
001aa96b-ba3b-4cc8-bfd6-3e775688f543	+
001ab9a7-0882-48ff-a20a-fdea476b36b3	+
001b7bdd-887b-4ee8-85bb-271fd7316445	-
001e6bb3-9028-411e-a1da-d1536118eee5	-
001efc6a-4a25-4ca9-b92a-9038f9c83954	+
00200b35-9bdf-46e5-9ded-23c4682e66b3	-
002098a0-c0f3-4871-bbbc-d3d3b8deb256	-
002113f9-3574-4772-9572-0c234fe6bebf	+
00213f62-a1f3-4f05-b9f1-efe56e9baf02	+
0022785f-9f86-41a6-9e0d-64c880849d36	-
0022b03e-edd1-445d-825b-590c60d70aeb	+
0024c586-d301-4175-a868-c50cc5921eb1	+
00252e8e-a60b-4b41-af70-dc6473743867	+
00253677-7e51-4ebe-8758-f2cb9156d2a8	-
0025a0f8-94e1-4460-ad3b-6a458b4ebad0	+
0025ffab-0982-4dd4-be33-6e860fb8c564	+
00265641-3d48-4418-8a92-29ed9183b38f	+
0026bfc4-8e59-4771-ab8d-a0e996048f9f	-
00286b8f-8f5d-439a-8808-72cc71a11293	+
00287936-5c1b-4287-8fe8-fa0d311c1dcb	+
0028a152-0734-4d01-87c5-5c5edf290edd	+
0028ca73-b708-431d-903d-9b8b54d45272	+
0028db19-d475-4b33-8b67-34391285e72a	-
0028de33-69fe-4138-96cc-7721b6c5b1f9	-
00296dea-1d2c-44e1-8709-f483972c102d	+
00297160-2319-44f9-be37-e70eafaa7a34	+
0029c288-a21b-444a-9d95-b4c845708e67	+
002a0492-f413-4650-814e-5d36b1faacd9	-
002a8e07-45ed-46f0-82b1-404b9b85fc15	-
002a97bc-da2f-402d-a5a2-0a6253df56b9	+
002b323d-63a6-4adc-beda-473a155ffbc4	+
002bc5b8-8f4f-4fdf-bd52-4f2c946f7a61	+
002cba8b-96c5-40e7-86b5-124e454f3067	+
002d0300-2526-47ab-bf93-8fd38d48768b	+
002d2e8b-b0ee-4df2-a3b5-1a9818e79de9	+
002e1391-8749-4359-87d3-6498ab64fc73	+
002fd1db-14e0-4678-844e-7db91beae199	-
0030ba8f-a254-462b-9265-99928b50bdc8	+
0030ec0e-dc41-48f9-bbfc-7b4de56185d2	+
0031c74f-3811-4835-9bb1-d09a2bc69b76	+
0031f54b-c3a7-4387-95d2-c00e15977598	+
00323fd7-e999-4279-85db-df97e2f261d8	+
